Order	Score	Word	IsRandom	Ngrams
103	27.01	alejandro  	 	ej(6.51), dr(4.00), nd(3.39), ro(3.36), ja(3.05), al(2.57), le(2.36), an(1.78)
104	27.01	enrique    	 	iq(6.22), nr(6.22), ue(4.97), qu(4.84), ri(2.45), en(2.31)
105	27.01	makenzie   	 	zi(5.53), nz(5.31), ak(4.67), ke(3.66), ie(2.96), ma(2.58), en(2.31)
106	26.89	osvaldo    	 	sv(6.92), ld(5.05), os(4.24), va(4.08), do(4.03), al(2.57)
107	26.88	ignacio    	 	gn(6.92), ci(4.62), ig(4.52), io(4.32), ac(4.03), na(2.48)
108	26.85	mitchell   	 	tc(6.51), it(4.24), he(3.80), ch(3.78), mi(3.18), ll(3.04), el(2.29)
109	26.81	rebecca    	 	cc(6.51), eb(5.41), ec(5.13), be(3.60), ca(3.22), re(2.94)
110	26.76	gustavo    	 	vo(5.66), gu(5.31), us(4.18), av(4.08), ta(4.03), st(3.50)
111	26.75	geraldine  	 	ld(5.05), ge(4.08), di(3.97), ne(3.08), ra(2.72), in(2.66), er(2.62), al(2.57)
112	26.75	maximus    	 	mu(5.82), xi(5.13), ax(4.62), im(4.43), us(4.18), ma(2.58)
113	26.69	jedidiah   	 	di(7.95), je(4.43), id(4.35), ed(4.28), ah(3.19), ia(2.49)
114	26.66	emmanuel   	 	nu(6.22), ue(4.97), mm(4.84), em(3.97), ma(2.58), el(2.29), an(1.78)
115	26.56	gwyneth    	 	gw(6.51), wy(6.22), et(4.00), th(3.64), yn(3.10), ne(3.08)
116	26.52	cristiano  	 	cr(5.31), no(4.21), ti(3.80), st(3.50), is(2.99), ia(2.49), ri(2.45), an(1.78)
117	26.50	ezekiel    	 	ez(5.82), ek(5.66), ze(5.41), ki(4.35), ie(2.96), el(2.29)
118	26.49	mauricio   	 	ci(4.62), ur(4.62), io(4.32), au(4.18), ic(3.74), ma(2.58), ri(2.45)
119	26.48	virginia   	 	rg(5.53), gi(4.39), ir(4.28), vi(3.74), ni(3.39), in(2.66), ia(2.49)
120	26.48	gracelynn  	 	gr(4.78), ac(4.03), ce(3.50), ly(3.19), yn(3.10), nn(2.87), ra(2.72), el(2.29)
121	26.47	santiago   	 	go(5.82), ag(5.21), nt(4.11), ti(3.80), sa(3.25), ia(2.49), an(1.78)
122	26.45	christian  	 	hr(5.66), ti(3.80), ch(3.78), st(3.50), is(2.99), ia(2.49), ri(2.45), an(1.78)
