Order	Score	Word	IsRandom	Ngrams
122	14.58	makenzie   	 	zi(3.76), nz(3.53), ak(2.89), ke(1.88), ie(1.18), ma(0.80), en(0.53)
123	14.48	bobby      	 	bo(3.89), bb(3.89), by(3.35), ob(3.35)
124	14.47	gibson     	 	bs(5.14), ib(4.23), gi(2.62), so(1.81), on(0.68)
125	14.44	beckett    	 	ec(3.35), tt(2.62), ck(2.54), et(2.22), ke(1.88), be(1.83)
126	14.42	mitchell   	 	tc(4.74), it(2.47), he(2.03), ch(2.01), mi(1.40), ll(1.26), el(0.52)
127	14.42	sawyer     	 	wy(4.45), aw(3.89), ye(3.76), sa(1.48), er(0.84)
128	14.42	sawyer     	 	wy(4.45), aw(3.89), ye(3.76), sa(1.48), er(0.84)
129	14.39	rodrigo    	 	go(4.04), od(3.13), ig(2.74), dr(2.22), ro(1.59), ri(0.67)
130	14.29	cassius    	 	iu(4.04), si(2.47), us(2.40), ss(2.34), as(1.60), ca(1.44)
131	14.26	jedidiah   	 	di(4.39), je(2.66), id(2.58), ed(2.50), ah(1.42), ia(0.71)
132	14.23	beckham    	 	kh(4.04), ec(3.35), ck(2.54), be(1.83), am(1.32), ha(1.14)
133	14.22	emmanuel   	 	nu(4.45), ue(3.20), mm(3.06), em(2.20), ma(0.80), el(0.52), an(0.00)
134	14.21	edward     	 	dw(4.45), wa(3.44), rd(3.27), ed(2.50), ar(0.55)
135	14.18	georgia    	 	rg(3.76), eo(2.89), gi(2.62), ge(2.31), or(1.90), ia(0.71)
136	14.17	howard     	 	ow(3.64), wa(3.44), rd(3.27), ho(3.27), ar(0.55)
137	14.16	princeton  	 	pr(3.76), nc(2.40), et(2.22), to(1.83), ce(1.72), in(0.89), on(0.68), ri(0.67)
138	14.07	summer     	 	um(4.23), su(3.89), mm(3.06), me(2.05), er(0.84)
139	14.06	alfredo    	 	lf(4.23), fr(3.13), ed(2.50), do(2.25), re(1.16), al(0.79)
140	14.06	mauricio   	 	ci(2.84), ur(2.84), io(2.54), au(2.40), ic(1.96), ma(0.80), ri(0.67)
141	14.05	virginia   	 	rg(3.76), gi(2.62), ir(2.50), vi(1.96), ni(1.62), in(0.89), ia(0.71)
142	14.04	frederick  	 	fr(3.13), ck(2.54), ed(2.50), ic(1.96), de(1.23), re(1.16), er(0.84), ri(0.67)
143	14.04	santiago   	 	go(4.04), ag(3.44), nt(2.34), ti(2.03), sa(1.48), ia(0.71), an(0.00)
144	14.01	daphne     	 	ap(4.45), hn(3.89), ph(2.94), da(1.43), ne(1.30)
145	14.01	agustin    	 	gu(3.53), ag(3.44), us(2.40), ti(2.03), st(1.72), in(0.89)
146	13.97	milagros   	 	ag(3.44), gr(3.00), os(2.47), ro(1.59), mi(1.40), il(1.29), la(0.78)
147	13.81	franklin   	 	nk(4.23), kl(4.04), fr(3.13), ra(0.94), in(0.89), li(0.59), an(0.00)
148	13.81	giovanni   	 	ov(3.64), gi(2.62), io(2.54), va(2.31), ni(1.62), nn(1.09), an(0.00)
149	13.77	salvador   	 	lv(3.53), va(2.31), do(2.25), or(1.90), ad(1.50), sa(1.48), al(0.79)
150	13.76	juliette   	 	ju(2.62), tt(2.62), ul(2.58), et(2.22), te(1.96), ie(1.18), li(0.59)
151	13.72	dominick   	 	om(3.06), ck(2.54), do(2.25), ic(1.96), ni(1.62), mi(1.40), in(0.89)
152	13.72	christine  	 	hr(3.89), ti(2.03), ch(2.01), st(1.72), ne(1.30), is(1.21), in(0.89), ri(0.67)
153	13.71	marquis    	 	rq(4.74), ui(3.35), qu(3.06), is(1.21), ma(0.80), ar(0.55)
154	13.70	bryleigh   	 	gh(3.06), ig(2.74), ei(2.66), ry(1.79), yl(1.52), br(1.35), le(0.58)
155	13.70	august     	 	ug(3.64), gu(3.53), au(2.40), us(2.40), st(1.72)
156	13.69	sydney     	 	dn(4.45), sy(3.64), yd(2.74), ey(1.56), ne(1.30)
157	13.68	sullivan   	 	su(3.89), iv(3.06), ul(2.58), va(2.31), ll(1.26), li(0.59), an(0.00)
158	13.65	houston    	 	ou(3.76), ho(3.27), us(2.40), to(1.83), st(1.72), on(0.68)
159	13.65	mercedes   	 	rc(3.44), ed(2.50), me(2.05), es(1.86), ce(1.72), de(1.23), er(0.84)
160	13.64	maximilian 	 	xi(3.35), ax(2.84), im(2.66), mi(1.40), il(1.29), ma(0.80), ia(0.71), li(0.59), an(0.00)
161	13.64	princess   	 	pr(3.76), nc(2.40), ss(2.34), es(1.86), ce(1.72), in(0.89), ri(0.67)
162	13.62	alexandria 	 	xa(3.76), ex(3.27), dr(2.22), nd(1.62), al(0.79), ia(0.71), ri(0.67), le(0.58), an(0.00)
163	13.61	patricia   	 	pa(2.89), ci(2.84), tr(2.66), ic(1.96), at(1.88), ia(0.71), ri(0.67)
164	13.59	penelope   	 	pe(5.68), op(3.53), lo(2.03), ne(1.30), en(0.53), el(0.52)
165	13.57	bridget    	 	dg(4.45), id(2.58), ge(2.31), et(2.22), br(1.35), ri(0.67)
166	13.56	maxwell    	 	xw(5.14), we(3.00), ax(2.84), ll(1.26), ma(0.80), el(0.52)
167	13.56	hector     	 	ct(4.45), ec(3.35), he(2.03), or(1.90), to(1.83)
168	13.55	jazmyn     	 	zm(4.23), az(3.53), my(3.20), yn(1.32), ja(1.27)
169	13.54	mohammad   	 	oh(3.13), mm(3.06), mo(2.58), ad(1.50), am(1.32), ha(1.14), ma(0.80)
170	13.54	abigail    	 	bi(3.44), ig(2.74), ga(2.40), ab(2.17), ai(1.49), il(1.29)
171	13.49	victoria   	 	ct(4.45), ic(1.96), vi(1.96), or(1.90), to(1.83), ia(0.71), ri(0.67)
172	13.49	zechariah  	 	ze(3.64), ec(3.35), ch(2.01), ah(1.42), ha(1.14), ia(0.71), ri(0.67), ar(0.55)
173	13.48	hudson     	 	ds(3.89), hu(3.76), ud(3.35), so(1.81), on(0.68)
174	13.46	evangeline 	 	ng(2.89), ev(2.66), va(2.31), ge(2.31), ne(1.30), in(0.89), li(0.59), el(0.52), an(0.00)
175	13.45	quincy     	 	cy(3.76), ui(3.35), qu(3.06), nc(2.40), in(0.89)
